condition,seed,contaminated,task,treesim,process_status,api_error,elapsed_sec,rag_calls,mem_calls,total_tool_calls,openrouter_cost_usd
A4_plug_mem_nohook,s2,,buckleyLeverettProblem,0.4396,success,False,205.0,16,0,33,0.3069861
A4_plug_mem_nohook,s2,,kgdExperimentValidation,0.2288,success,False,555.4,35,0,46,0.56112108
A4_plug_mem_nohook,s2,,pknViscosityDominated,0.0,success,False,231.1,14,0,19,0.13585692
A5_plug_mem_hook,s1,,AdvancedExampleCasedContactThermoElasticWellbore,0.0566,success,False,263.2,14,0,25,0.19851851999999998
A5_plug_mem_hook,s1,,AdvancedExampleDeviatedElasticWellbore,0.1372,success,False,294.8,26,0,44,0.43183662
A5_plug_mem_hook,s1,,AdvancedExampleDruckerPrager,0.4532,success,False,171.4,7,0,25,0.1240827
A5_plug_mem_hook,s1,,AdvancedExampleExtendedDruckerPrager,0.3961,success,False,203.6,9,0,18,0.09391674000000001
A5_plug_mem_hook,s1,,AdvancedExampleModifiedCamClay,0.5254,success,False,135.2,7,0,13,0.054746579999999996
A5_plug_mem_hook,s1,,AdvancedExampleViscoDruckerPrager,0.0833,success,False,134.1,7,0,19,0.09358086
A5_plug_mem_hook,s1,,ExampleDPWellbore,0.1409,success,False,378.4,31,0,49,0.46934106
A5_plug_mem_hook,s1,,ExampleEDPWellbore,0.3169,success,False,307.0,21,0,38,0.36661692
A5_plug_mem_hook,s1,,ExampleIsothermalLeakyWell,0.3373,success,False,352.6,28,0,36,0.32558993999999997
A5_plug_mem_hook,s1,,ExampleMandel,0.1229,success,False,211.6,22,0,31,0.25579122000000004
A5_plug_mem_hook,s1,,ExampleThermalLeakyWell,0.383,success,False,624.8,11,0,30,0.38507112
A5_plug_mem_hook,s1,,ExampleThermoporoelasticConsolidation,0.9294,success,False,271.2,3,0,22,0.12306678
A5_plug_mem_hook,s1,,TutorialPoroelasticity,0.2972,success,False,439.9,24,0,37,0.3181588799999999
A5_plug_mem_hook,s1,,TutorialSneddon,0.1436,success,False,418.2,17,0,56,0.44289779999999995
A5_plug_mem_hook,s1,,buckleyLeverettProblem,0.5007,success,False,233.7,14,0,24,0.15880338
